Job_Title,City,Yrs_of_Exp,Salary
Product Manager,Bandung, 1 – 3 tahun, IDR 10.000.000 - 20.000.000
Accounting Supervisor,Medan, 1 – 3 tahun, IDR 8.000.000 - 11.000.000
Technical Artist,Palangkaraya, 1 – 3 tahun, IDR 8.000.000 - 11.000.000
Flutter Developer,Jakarta, 1 – 3 tahun,
Software Engineer (PHP),Palangkaraya, 1 – 3 tahun,
NoSQL Developer,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Full Stack Developer,Bogor, Kurang dari setahun,Login to view estimated salary by Glints.
IT Back End Developer,Tangerang, 3 – 5 tahun, IDR 15.000.000 - 20.000.000
ART (MANDARIN),"Pademangan, Jakarta", 3 – 5 tahun,
Accounts Payable Specialist (FULL ENGLISH SPEAKING),Jakarta, 3 – 5 tahun,
QA Staff,Depok, 1 – 3 tahun,
Mandarin Speaker - Manager,Depok, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Frontend Developer,"Pondok Indah, Jakarta", Kurang dari setahun, IDR 1.500.000
Implementation Engineer,Sukabumi, Kurang dari setahun,
Marketplace Specialist,Sukabumi, 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Fashion Designer,Jakarta, Lebih dari 10 tahun,
Process Quality Engineer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
System Engineer,"Menteng, Jakarta", 3 – 5 tahun, IDR 16.000.000 - 24.000.000
Pricing Analyst,Palangkaraya, 3 – 5 tahun, IDR 16.000.000 - 24.000.000
Business Analyst,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Content Creator Freelance - Remote,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 8.000.000
Sales Manager,Bandung, 3 – 5 tahun, IDR 5.000.000 - 10.000.000
Security,Yogyakarta, 1 – 3 tahun, IDR 8.000.000 - 15.000.000
Shipping Staff,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Telesales,"Kebayoran Lama, Jakarta", 5 – 10 tahun,
Brand Associate,Batam, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Admin Marketplace Internship,Jakarta, Kurang dari setahun, IDR 2.100.000 - 4.500.000
Store Beauty Advisor,Ciputat, Kurang dari setahun, IDR 6.500.000 - 7.500.000
Business Development - Semarang,"Cempaka Putih, Jakarta",, IDR 1.000.000 - 4.200.000
Admin Project,Tangerang,,
Admin Project,Jakarta, Kurang dari setahun, IDR 1.400.000
SMB (Small Medium Business) Sales,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
General Manager,Jakarta, 3 – 5 tahun,
Designer,Jakarta, Kurang dari setahun, IDR 5.500.000 - 8.500.000
Material and Inventory Controller ,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Content Creator,Jakarta, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Graphic Designer specialised in UI / UX needed for long term,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 5.000.000
Graphic Designer specialised in UI / UX needed for long term,Tangerang, 5 – 10 tahun, USD 4.000 - 5.000
Graphic Designer specialised in UI / UX needed for long term,Jakarta, Kurang dari setahun, IDR 6.000.000 - 8.000.000
Graphic Designer specialised in UI / UX needed for long term,"SCBD, Jakarta", 5 – 10 tahun,
Graphic Designer,Jakarta, 5 – 10 tahun,
STAFF PROJECT ,"Jagakarsa, Jakarta", 5 – 10 tahun,
Bridal Consultant / Sales for international brand,Tangerang, Kurang dari setahun,
Social Media Specialist,"Kuningan, Jakarta", 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Business Manager,Yogyakarta, Kurang dari setahun,
Performance Marketing,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Mobile Developer,, 5 – 10 tahun,
Full stack ,"Kemayoran, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 4.000.000
Event Specialist,Jakarta, Kurang dari setahun,
Legal Manager,Bandung, 3 – 5 tahun,
Formulator Cosmetik ,Jakarta, 3 – 5 tahun, IDR 22.120.000 - 51.500.000
Finance & Accounting Manager,Bandung, 1 – 3 tahun,
Mobile Developer,Kemang, 1 – 3 tahun, IDR 3.000.000 - 4.000.000
Marketing Acquisition,Yogyakarta, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Videographer and Motion Graphic,Bandung, 3 – 5 tahun, IDR 6.000.000 - 7.500.000
Sr. Finance Staff,Jakarta, 1 – 3 tahun,
Software Engineer G1,Jakarta, Kurang dari setahun, IDR 2.000.000 - 3.000.000
Finance Support,Surabaya, 1 – 3 tahun,
Administrasi,Bandung, Kurang dari setahun, IDR 2.000.000 - 3.000.000
Assistant Business Development Manager,"Kebayoran Lama, Jakarta", 1 – 3 tahun,
Frontend Developer,Bandung, Kurang dari setahun,
Audience Marketing Specialist,Jakarta, Kurang dari setahun,
Digital Marketing Associate,Jakarta, 1 – 3 tahun,
Group Product Manager,Jakarta, 1 – 3 tahun,
Sales Executive,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Social Media Specialist,Jakarta, 1 – 3 tahun,
Logistic Manager,"Senayan, Jakarta", 1 – 3 tahun,
Senior Finance & Accounting,"Kebayoran Baru, Jakarta", 1 – 3 tahun,
Senior Human Resources Development,South Tangerang, 5 – 10 tahun,
Senior UX Researcher ,Jakarta, 1 – 3 tahun,
Head of Operations,Temanggung, Kurang dari setahun,
LICENSED AIRCRAFT MAINTENANCE ENGINEER,Jakarta,,
Software Business Analyst,Jakarta, 1 – 3 tahun,
Customer Service Manager,"Pasar Minggu, Jakarta", 1 – 3 tahun, IDR 7.500.000 - 10.000.000
TAX OFFICER,Jakarta, 3 – 5 tahun,
PUBLIC RELATION,"Gambir, Jakarta", 3 – 5 tahun,
Division of Economic Analyst,Jakarta, Kurang dari setahun, IDR 4.750.000 - 6.500.000
SCRUMMASTER (HYBRID),Jakarta, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
F&B Project Manager ,Bandung, Kurang dari setahun, IDR 4.500.000 - 8.000.000
Funding Priority Manager,Jakarta, 3 – 5 tahun,
Sales Area,Jakarta, Kurang dari setahun, IDR 5.000.000 - 6.000.000
Associate Product Manager,"Pasar Minggu, Jakarta", 3 – 5 tahun,
Data Scientist,Jakarta, Kurang dari setahun, IDR 2.000.000 - 2.500.000
Content Creator,"Kebayoran Lama, Jakarta", 3 – 5 tahun,
Senior Content Creator,Jakarta, 3 – 5 tahun,
Mobile Developer,"Palmerah, Jakarta", 3 – 5 tahun,
IT Customer Success ,Sidoarjo, 3 – 5 tahun,
sales dealmaker online,Yogyakarta, Kurang dari setahun,
Host Live Streaming E-Commerce,Jakarta, 3 – 5 tahun,
"ReactJS Web / Frontend Developer (Remote, Hong Kong)","Cilandak, Jakarta", 3 – 5 tahun,
Business Administration Staff,Jakarta, 3 – 5 tahun,
sales,"Jagakarsa, Jakarta", 3 – 5 tahun,
Creative Graphic Designer,"Cilandak, Jakarta", 1 – 3 tahun,
Head of Marketing,"Cilandak, Jakarta", 3 – 5 tahun,
Head of Sales,Bandung, 1 – 3 tahun,
Head of Ecommerce,"Kelapa Gading, Jakarta", Kurang dari setahun, IDR 6.000.000 - 9.000.000
Head Of Retail,"Penjaringan, Jakarta", 3 – 5 tahun, IDR 6.000.000 - 10.000.000
People Development Staff,"Tanah Abang, Jakarta", Kurang dari setahun, IDR 4.000.000 - 6.000.000
Brand Manager,Surabaya, 1 – 3 tahun, IDR 7.000.000
KOL & Campaign Specialist,Jakarta, 1 – 3 tahun,
Assistant Finance & Accounting,Tasikmalaya, Kurang dari setahun,
Compliance Analyst - Transaction Monitoring,Surabaya, Kurang dari setahun,
Senior Java Developer,"Kemang, Jakarta", Kurang dari setahun, IDR 5.000.000 - 10.000.000
Partner Specialist (FULL ENGLISH SPEAKING),Jakarta, 1 – 3 tahun,
Account Manager,, 1 – 3 tahun,
Sales Promotion Bazaar - DIBUTUHKAN SEGERA ,Tangerang, Kurang dari setahun, IDR 6.000.000 - 12.000.000
Project Sales Manager,"Sunter, Jakarta", 1 – 3 tahun,
Event Specialist,Jakarta, 1 – 3 tahun,
Graphic Designer Intern,"Pancoran, Jakarta", 1 – 3 tahun,
Senior Software Engineer,"Kemang, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Backend Developer,"Cakung, Jakarta", 1 – 3 tahun,
Investor Relation,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Senior Developer,Bogor, 1 – 3 tahun,
Sales/Business Development (Digital &  Creative),Serpong, 1 – 3 tahun,Login to view estimated salary by Glints.
Account Director,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Business Development - International Outreach Executive (Remote),Jakarta, 1 – 3 tahun,
SQL Database Administrator,Jakarta, Kurang dari setahun, IDR 2.500.000 - 3.000.000
Marketing Executive,"Kebayoran Baru, Jakarta", 1 – 3 tahun,
Flutter Developer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Tech Lead,Surabaya, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Staf Pengembangan Kurikulum Dept. RnD SMP & SMA,Jakarta, 1 – 3 tahun,
Sr. Frontend Developer,Surabaya, 3 – 5 tahun,
Tutor Bahasa Jepang,Yogyakarta, 1 – 3 tahun, IDR 3.500.000 - 6.000.000
.Net Developer	,Yogyakarta, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Golang Developer,Nganjuk, 1 – 3 tahun, IDR 3.000.000 - 3.500.000
Java Backend Developer,Jakarta, 1 – 3 tahun, USD 900 - 1.500
Content Strategist Intern,Jakarta, 1 – 3 tahun, USD 900 - 1.500
Apoteker,"Kebon Jeruk, Jakarta", 1 – 3 tahun, USD 900 - 1.500
Restaurant Operations Manager,"Setiabudi, Jakarta", 1 – 3 tahun, USD 900 - 1.500
Full-Stack Software Developer  - 609,Jakarta, Kurang dari setahun, IDR 2.850.000 - 4.000.000
IT Project Implementation Manager,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 4.000.000
(JV2206004) Policy Service Support - Jakarta ,Balikpapan, Kurang dari setahun, IDR 8.000.000 - 10.000.000
ARTIST ASSISTANT,Yogyakarta, 1 – 3 tahun,
Senior Programer,Semarang, 5 – 10 tahun,
Associate Product Manager,Jakarta,,
(JV2206003) Investment Staff - Jakarta ,Denpasar, Kurang dari setahun, IDR 3.000.000 - 4.000.000
Account Officer - Makassar,Surabaya, 1 – 3 tahun,
Spv. Learning Experience Designer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 5.500.000
Research and Development Manager (617),Jakarta, 5 – 10 tahun,
Account Executive,Tangerang, 1 – 3 tahun, IDR 4.300.000 - 5.000.000
Assistant Legal Manager,Jakarta, 5 – 10 tahun,
Graphic Designer FULL TIME,Jakarta, 1 – 3 tahun,
Project Lead (Account Manager),Surabaya, 1 – 3 tahun,
Sr. QA,Jakarta, 1 – 3 tahun, IDR 1.500.000 - 5.000.000
Account Executive,Batam, 1 – 3 tahun,
Consultant Property,Yogyakarta, 1 – 3 tahun,
SALES AREA TANGGERANG,Jakarta, 1 – 3 tahun,
Frontend Engineer,,,
Sales Executive - Jember,Jakarta, 1 – 3 tahun,
Software Quality Assurance,Jakarta, 1 – 3 tahun,
PART TIME - Data Profiler,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
PART TIME - Inside Sales Representative (English Speaker),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Staff Gudang,"Kemang, Jakarta", 5 – 10 tahun,
Marketing Analyst,Jakarta, 1 – 3 tahun,
Accounting Asset and Tax Senior Officer,Jakarta, 1 – 3 tahun,
Digital Marketing INTERN,Jakarta, 1 – 3 tahun, IDR 12.000.000 - 15.000.000
Integrator API / Implementor API,"Kelapa Gading, Jakarta", 5 – 10 tahun,
Full-Stack Developer,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Sales Manager,Klaten, 1 – 3 tahun, IDR 14.000.000 - 17.000.000
Sales/ Admin Online,Batam, 1 – 3 tahun,Login to view estimated salary by Glints.
Java Script Full-Stack Developer,Bandung, 5 – 10 tahun, SGD 4.000 - 9.000
Sales Assistant 销售助理,Batam, 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Sales Coordinator,Batam, 3 – 5 tahun, IDR 7.000.000 - 12.000.000
Quality Assurance (QA Automation),Batam, 1 – 3 tahun, IDR 40.000.000
Host Live Streaming,Batam, Kurang dari setahun, IDR 4.000.000 - 5.200.000
Product Manager,Bandung, 1 – 3 tahun,
Fullstack Developer,Jakarta, 5 – 10 tahun, IDR 20.000.000 - 25.000.000
Backend Developer,Bandung, 3 – 5 tahun,
Desain Grafis Percetakan,Yogyakarta, 1 – 3 tahun,
LEADER MARKETING ,Jakarta, 1 – 3 tahun,
Software Quality Assurance,Yogyakarta, Kurang dari setahun, IDR 5.000.000 - 7.500.000
Crypto Journalist,Tangerang, 3 – 5 tahun,
Head of Wealth Management,Tangerang, 1 – 3 tahun,
Finance Staff,"Kembangan, Jakarta", 1 – 3 tahun,
Data Tech Shift Academy,Jakarta, 1 – 3 tahun,
Sales Marketing - Edutech Jabodetabek,Jakarta, 1 – 3 tahun,
DevOps Engineer,Jakarta, Kurang dari setahun,
Desain Grafis Sosial Media,Yogyakarta, Kurang dari setahun, IDR 2.500.000 - 3.500.000
Business Development Supervisor,"Kuningan, Jakarta", 1 – 3 tahun,
Digital Entrepreneur,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Social Media Specialist,Jakarta, 3 – 5 tahun, IDR 4.000.000 - 10.000.000
Collection and Call Center Officer,Tangerang, 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Sales Executive,Jakarta, Lebih dari 10 tahun,
E-mail Marketing Analyst,"Pulo Gadung, Jakarta", Lebih dari 10 tahun,
COOK HELPER CHINESE RESTAURANT,Jakarta, 1 – 3 tahun,
HR Engagement,Surabaya, 1 – 3 tahun,
Facade Architectural Designer,Jakarta, 1 – 3 tahun, IDR 3.800.000 - 4.500.000
Performance Marketing Consultant,Tangerang, 1 – 3 tahun,
Senior Shopify Consultant,Tangerang, Kurang dari setahun, IDR 7.000.000 - 10.000.000
Account Executive,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
Personal Assistant,Jakarta, 1 – 3 tahun,
Fullstack Developer (Blockchain),"Pondok Indah, Jakarta", 3 – 5 tahun,
Fullstack Developer,Bandung, Kurang dari setahun, IDR 7.000.000 - 8.000.000
HR Manager,Semarang, 3 – 5 tahun,
Tech Lead,"Kalideres, Jakarta", 1 – 3 tahun, IDR 3.800.000 - 4.500.000
Senior Product Engineer (Mobile - Flutter),"Kalideres, Jakarta", 3 – 5 tahun,
Junior PHP Programer Staff,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.500.000
Head of Marketing & Brand,Tangerang, Kurang dari setahun,
Investment Analyst,Semarang, 5 – 10 tahun,
Junior Full-stack Developer,Jakarta, 3 – 5 tahun,
Social Media Specialist,Bandung, 3 – 5 tahun,
Commerce Internship,Semarang, 5 – 10 tahun,
Key Opinion Leader Internship,Surabaya, 5 – 10 tahun,
Marketing Manager,Medan, 5 – 10 tahun,
IT Product Manager,Jakarta, 1 – 3 tahun, IDR 5.000.000
Officer Sales Inbound,Semarang, 3 – 5 tahun, IDR 10.000.000 - 25.000.000
Team Promo,Bandung, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Sales Executive,"Kebayoran Lama, Jakarta", 3 – 5 tahun,
Telesales / Telemarketing education counselor,Jakarta, 3 – 5 tahun,
Digital Advertiser Internship,Jakarta, 1 – 3 tahun,
Marketing Specialist (Fluent English),Surabaya, 3 – 5 tahun,
Freight Forwarding Specialist ,, 1 – 3 tahun, IDR 4.000.000 - 4.800.000
Social Media & Content Writter,Denpasar, 3 – 5 tahun,
Sales Executive,Jakarta, 3 – 5 tahun,
Content Strategist,"Tebet, Jakarta", 3 – 5 tahun,
HR Staff ,Jakarta, Kurang dari setahun,
Sales & Marketing Manager (Futures),Serang, Kurang dari setahun,
IT SUPPORT,Tangerang, 5 – 10 tahun,
Maintenance senior supervisor,Tangerang, 1 – 3 tahun,Login to view estimated salary by Glints.
Marketing Associate,Jakarta, 3 – 5 tahun,
Sales Account,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 4.453.935 - 6.235.509
Account Coordinator,Jakarta, Kurang dari setahun,
PROJECT CONSULTANT - B2B Sales (SURABAYA),Yogyakarta, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
Maintenance Asst. Manager,Jakarta, 1 – 3 tahun,
SALES / PROMOTOR,Yogyakarta, 1 – 3 tahun, IDR 4.453.935 - 6.235.509
SELES MARKETING,, 3 – 5 tahun,
Admin Purchasing,Jakarta, 3 – 5 tahun,
Account Executive,Jakarta, 3 – 5 tahun,
Account Executive,Jakarta, 1 – 3 tahun, IDR 3.700.000 - 4.500.000
Account Executive,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 17.000.000
Departement Head of Strategic Procurement,Jakarta, 1 – 3 tahun, IDR 2.500.000 - 3.500.000
Mekanik Alat berat,Palembang, 3 – 5 tahun,
iOS Developer,Tangerang, 3 – 5 tahun,
Android Developer,Jakarta, 1 – 3 tahun,
Developer (FE/BE/Full Stack),Jakarta, Kurang dari setahun, IDR 1.500.000 - 15.000.000
Quality Assurance Officer,Yogyakarta, 1 – 3 tahun,
Junior or Middle Backend Developer,Jakarta, 1 – 3 tahun,
Customer Success Manager,"Pulo Gadung, Jakarta", Kurang dari setahun,
Sales Manager ,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 5.000.000
(JV2205013) Human Resources - Recruitment Dept Head,Semarang, Kurang dari setahun, IDR 4.000.000 - 4.500.000
iOS Developer,Jakarta, Kurang dari setahun, IDR 4.000.000 - 4.500.000
Teknisi After Sales Services,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Marketing Communication Cabang Solok,Surabaya, Kurang dari setahun, IDR 5.000.000 - 8.000.000
LSA Specialist,Jakarta, 3 – 5 tahun,
Senior Social Media Marketing,Jakarta, Kurang dari setahun,
Purchaser Staff,"Cengkareng, Jakarta", Kurang dari setahun, IDR 5.500.000 - 7.500.000
IT Business Analyst,Jakarta, 3 – 5 tahun,
Talent Acquisition,Medan, 3 – 5 tahun,
KOORDINATOR METODE ANALIS,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
ReactJS Developer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Senior Infrastructure Engineer,Jakarta, 1 – 3 tahun, IDR 10.000.000 - 15.000.000
Head of Science,Jakarta, 3 – 5 tahun,
Data Scientist Manager,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Web Developer,"Tebet, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 6.000.000
3D Designer,Yogyakarta, 3 – 5 tahun,
Data Engineer,"Cengkareng, Jakarta", 3 – 5 tahun,
Interior Designer Lead,Batam, 3 – 5 tahun,
Brand Marketing Specialist,"Mampang Prapatan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Purchasing Officer,"Cengkareng, Jakarta", 3 – 5 tahun, IDR 5.500.000 - 8.500.000
VIDEOGRAPHER & EDITOR,Jakarta, Kurang dari setahun, IDR 6.000.000 - 10.000.000
Associate Brand Manager,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Senior Developer,Jakarta, Lebih dari 10 tahun,
Accounting Staff,Jakarta, Kurang dari setahun, IDR 3.000.000 - 3.500.000
Lead Generator - Magang,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Customer Service Inside Sales (CSIS) Executive,Yogyakarta, 1 – 3 tahun, IDR 4.000.000 - 8.000.000
Management Trainee,Jakarta, 3 – 5 tahun, IDR 25.000.000 - 30.000.000
Software Engineer Lead,Senayan, Kurang dari setahun, IDR 500.000 - 1.000.000
Executive Sales  and Marketing,Jakarta, 5 – 10 tahun,Login to view estimated salary by Glints.
KOL Specialist,Jakarta, Kurang dari setahun, IDR 4.000.000 - 6.000.000
KOL Specialist,Bandung, 1 – 3 tahun,
eCommerce Manager,Jakarta, Kurang dari setahun, IDR 3.800.000 - 5.000.000
Community Manager,Bandung, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Scrum Master,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
QA Engineer,Medan, 1 – 3 tahun, IDR 3.000.000
Release Engineer,Jakarta, 1 – 3 tahun,
ACCOUNT EXECUTIVE ISP,Jakarta, Kurang dari setahun, IDR 4.000.000 - 4.600.000
Frontdesk ,Jakarta, 3 – 5 tahun, IDR 30.000.000 - 32.000.000
Telesales Officer,Jakarta, 3 – 5 tahun, IDR 28.000.000 - 33.000.000
HOST LIVE STREAMING,Jakarta, 1 – 3 tahun,
Business Analyst,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Digital Marketing - Advertiser,Jakarta, 3 – 5 tahun,
Staf Marketing,Jakarta, 1 – 3 tahun,
3D Modeler & Texture Artist (Mobile Game Dev),Jakarta, 5 – 10 tahun, IDR 17.000.000 - 22.000.000
Junior Android Programmer,Tangerang, 3 – 5 tahun,
Marketing Communication,Jakarta, 1 – 3 tahun, IDR 7.000.000 - 15.000.000
Cloud Technical Specialist,Jakarta, Kurang dari setahun,
Sales Supervisor (Area),Jakarta, 3 – 5 tahun,
Jr. SEO Project Assistant,"Cilandak, Jakarta",,
Dynamic 365 Microsoft Channel Sales Manager,Jakarta,, IDR 5.000.000 - 7.000.000
Mobile Engineer (Project Based),Bandung,,
Backend Engineer (Project Based),Jakarta, Kurang dari setahun, IDR 5.000.000 - 7.000.000
Product Owner,Jakarta, Kurang dari setahun,
APP & WEB DEVELOPER,Jakarta, Kurang dari setahun,
DIGITAL MARKETING,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 9.000.000
IT Helpdesk,Surabaya, 3 – 5 tahun,Login to view estimated salary by Glints.
Counselor - Alam Sutera,Denpasar, 1 – 3 tahun,
Art Director / Senior Graphic Designer,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.642.000
Ad Ops Specialist,Jakarta, 3 – 5 tahun,
Community Growth Executive -  INDO,Jakarta, 1 – 3 tahun,
Growth Hacking Executive - INDO,Yogyakarta, Kurang dari setahun,
Key Account Executive Food Service,"Kemang, Jakarta", 3 – 5 tahun, IDR 7.000.000
Angular Support Engineer,Tangerang, 3 – 5 tahun,
Business Analyst,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.500.000
(JV2206004) Technical Support - Semarang,Makassar, Kurang dari setahun,
Sales Executive JABODETABEK,Jakarta, Kurang dari setahun, IDR 2.000.000 - 3.000.000
Front End Developer (Project Based),"Senayan, Jakarta", 1 – 3 tahun, IDR 2.500.000 - 3.000.000
CRM Marketing Associate,Surabaya, 1 – 3 tahun, IDR 10.000.000 - 60.000.000
Social Media Officer,Jakarta, Kurang dari setahun, IDR 2.000.000 - 4.000.000
Sr. Backend Engineer - Golang,Bandung, 1 – 3 tahun,
Online Customer Service Officer,Batam, Kurang dari setahun, IDR 4.800.000
Management Trainee (Math Graduate),Jakarta, 1 – 3 tahun,
Software Tester,"Senayan, Jakarta", Kurang dari setahun,
Front-End Developer,"Kalideres, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.500.000
CRM Specialist,Tangerang, 1 – 3 tahun,
Software Engineer Squad Member,Jakarta, Kurang dari setahun, IDR 4.000.000 - 5.500.000
Site Project Engineer,Jember, 1 – 3 tahun, IDR 2.500.000 - 25.000.100
Community & Program,Semarang, Kurang dari setahun, IDR 4.000.000 - 4.500.000
Fullstack Web Developer,Jakarta, 1 – 3 tahun,
UI / UX DESIGNER,Jakarta, 1 – 3 tahun,
Content Strategist,Bekasi, 1 – 3 tahun,
Admin H1,Jakarta, 3 – 5 tahun,
TECHNOLOGY LEAD - R/GA Indonesia,"Pulo Gadung, Jakarta", 1 – 3 tahun, IDR 4.500.000
Radiografer,Purwakarta, 1 – 3 tahun,
Senior Application Engineer (Embedded),Jakarta, 1 – 3 tahun,
